,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(3), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(2), -1)","(array([2, 1]), np.int64(3), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(3), -1)","(array([1, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(3), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(3), -1)","(array([0, 0]), np.int64(2), -1)","(array([1, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(2), -1)","(array([1, 1]), np.int64(2), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(3), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(1), -1)","(array([2, 3]), np.int64(0), -1)","(array([1, 3]), np.int64(0), -1)","(array([0, 3]), np.int64(1), -1)","(array([0, 4]), np.int64(1), -1)"
1,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)"
2,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)"
3,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(0), -1)"
4,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)"
5,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)"
6,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)"
7,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(2), -1)","(array([2, 2]), np.int64(3), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(2), -1)","(array([2, 2]), np.int64(3), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(2), -1)","(array([2, 2]), np.int64(3), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(2), -1)","(array([2, 2]), np.int64(3), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(2), -1)","(array([2, 2]), np.int64(3), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(2), -1)","(array([2, 2]), np.int64(3), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(2), -1)","(array([2, 2]), np.int64(3), -1)"
8,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)"
9,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)"
